Job1,Job2,Sector1,Sector2,NSQF1,NSQF2,similarity_score
Plastic Recycling Micro Entrepreneur,Housekeeping Attendant,Green Jobs,Tourism & Hospitality,4,3,0.40022254
Additive Manufacturing,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,4.5,4,0.4001789
Wastewater Treatment Plant Helper,Finished Package Checker-cum-Packer  - Spinning,Green Jobs,Textile,3,3,0.40016958
Solar PV Engineer (Option: Solar Water Pumping System),Pastry/Bakery Assistant,Green Jobs,Tourism & Hospitality,5,3,0.40006867
Solar PV Engineer (Option: Solar Water Pumping System),Kitchen Steward,Green Jobs,Tourism & Hospitality,5,2,0.40006107
Automobile Technology,Loin Loom Weaver,Automotive,Textile,4.5,3,0.40002742
Solar PV Engineer (Option: Solar Water Pumping System),Beam Carrier - Loader,Green Jobs,Textile,5,2,0.40000674
Iron & Steel- Plasma Cutter: Manual,Loin Loom Weaver,Iron and Steel,Textile,4,3,0.40000072
Wastewater Treatment Plant Helper,Hotel Reception (WorldSkills),Green Jobs,Tourism & Hospitality,3,4.5,0.39999604
Introduction to Electric Vehicle,Manager- Waste Management,Automotive,Green Jobs,4,6,0.39999092
Manager- Waste Management,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,6,6,0.39999092
Project Assistant Planner - Wind Power Plant,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.39998892
Plant Manager,Solar EV Charging Entrepreneur,Food Processing,Green Jobs,9,4,0.3999833
Solar EV Charging Entrepreneur,Assistant Ceramics and Terracotta Toy Maker,Green Jobs,Handicrafts and Carpet,4,2.5,0.39998302
Introduction to Electric Vehicle,Engraving and Stamping Artisan,Automotive,Handicrafts and Carpet,4,4,0.39997202
GHG Accounting and Sustainability Reporting,Engraving and Stamping Artisan,Green Jobs,Handicrafts and Carpet,6,4,0.39997202
Automotive Machinist,Food & Beverage Service Manager,Automotive,Tourism & Hospitality,3,7,0.39996463
Junior Technician - Mechanized Sewer Cleaning,Bartender,Green Jobs,Tourism & Hospitality,3,4.5,0.39994198
Sewer Entry Professional,Revenue Manager,Green Jobs,Tourism & Hospitality,3,5.5,0.3999322
Fortified Rice Technician,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,4,6,0.39993143
Introduction to Electric Vehicle,Fortified Rice Technician,Automotive,Food Processing,4,4,0.39993143
Solar Domestic Product Assembler,Recyclable Waste Collector & Segregator,Green Jobs,Green Jobs,2.5,4,0.39991212
Introduction to Electric Vehicle,Product Maker (Fashion Jewellery),Automotive,Handicrafts and Carpet,4,3.5,0.39989734
GHG Accounting and Sustainability Reporting,Product Maker (Fashion Jewellery),Green Jobs,Handicrafts and Carpet,6,3.5,0.39989734
Introduction to Electric Vehicle,Food Product Developer,Automotive,Food Processing,4,5,0.39987913
Food Product Developer,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,5,6,0.39987913
Biomass Pellet Manufacturing Junior Technician,"Meeting, Conference and Event Planner",Green Jobs,Tourism & Hospitality,3,5,0.3998737
Biomass Pellet Manufacturing Junior Technician,Loin Loom Weaver,Green Jobs,Textile,3,3,0.3998576
Solar PV Project Helper,Revenue Manager,Green Jobs,Tourism & Hospitality,2,5.5,0.39983276
Basic Program on Traditional Hand Embroidery,Mine Shotfirer/Blaster,Handicrafts and Carpet,Mining,4,4,0.39980263
Automotive Welding Machine Trainer,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,5,4,0.3997868
Recyclable Waste Collector & Segregator,Facility Manager,Green Jobs,Tourism & Hospitality,4,6,0.3997353
Solar Proposal Evaluation Specialist,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,5,4,0.3996843
Automotive Assembler,Recyclable Waste Collector & Segregator,Automotive,Green Jobs,4,4,0.3996836
Bio-Energy Micro Entrepreneur,Ventilation Checker cum Fan Operator,Green Jobs,Mining,4,4,0.3996442
Welding,Bartender,Automotive,Tourism & Hospitality,4.5,4.5,0.3996164
Basic Program on Traditional Hand Embroidery,Assistant Mechanic - Bearing Maintenance,Handicrafts and Carpet,Iron and Steel,4,3,0.39956456
Biomass Pellet Manufacturing Junior Technician,Walk Tour Facilitator,Green Jobs,Tourism & Hospitality,3,4,0.3995453
Plastic Recycling Micro Entrepreneur,Ski Instructor,Green Jobs,Tourism & Hospitality,4,6,0.3995398
Solar PV Engineer (Option: Solar Water Pumping System),Knitting Machine Operator Circular Knitting,Green Jobs,Textile,5,3,0.3995387
Solar PV Project Helper,Hotel Reception (WorldSkills),Green Jobs,Tourism & Hospitality,2,4.5,0.39953524
Quality Assurance Manager,Loin Loom Weaver,Food Processing,Textile,6,3,0.39952588
Junior Technician- Solar Cold Storage,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,3,7,0.39951354
Green Hydrogen Plant Technician,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,4,6,0.39944687
Introduction to Electric Vehicle,Green Hydrogen Plant Technician,Automotive,Green Jobs,4,4,0.39944687
Car Painting,Solar PV Engineer (Option: Solar Water Pumping System),Automotive,Green Jobs,4.5,5,0.3994247
Improved Cookstove Installer,Plant Head â€“ Operations (Compressed Biogas/Waste to Energy),Green Jobs,Green Jobs,4,7,0.39941436
Ambulance Driver,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,4,6,0.39939463
Ambulance Driver,Introduction to Electric Vehicle,Automotive,Automotive,4,4,0.39939463
Green Hydrogen Plant Junior Technician (Desalination),Wastewater Treatment Plant Helper,Green Jobs,Green Jobs,3,3,0.39936745
Rooftop Solar Grid Engineer,Loin Loom Weaver,Green Jobs,Textile,5,3,0.39936224
Loin Loom Weaver,Catering Manager,Textile,Tourism & Hospitality,3,6,0.39933956
Introduction to Electric Vehicle,Transport Coordinator-Tourism and Hospitality,Automotive,Tourism & Hospitality,4,4,0.39933467
GHG Accounting and Sustainability Reporting,Transport Coordinator-Tourism and Hospitality,Green Jobs,Tourism & Hospitality,6,4,0.39933467
Improved Cookstove Installer,"Meeting, Conference and Event Planner",Green Jobs,Tourism & Hospitality,4,5,0.3993313
Automotive Quality Control Inspector,Shuttleless Loom Operator,Automotive,Textile,3,3,0.39932284
Green Hydrogen Plant Junior Technician - Power Sources,Jute Weft Winding Operator,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Ring Frame Tenter,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Ikkat Artisan,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Hand Spinning Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Hand Knitting Machine Operator,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Tape Winder,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Fitter - Shuttleless Weaving Machine: Projectile,Green Jobs,Textile,3,4,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Fitter Helper - Weaving,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Fabric Mender - Textiles,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Fabric Checker - Textiles,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Knotting Machine Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Pirn Winding Machine Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Assistant Ginning Fitter,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Assistant Cotton Grader (Ginning),Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Blowroom Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Combing Preparatory Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Jute Beaming Operator,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Fitter  Weaving Preparatory,Green Jobs,Textile,3,4,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Tape Plant Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Cone Winding Operator - Manual & Assembly Winding,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Card Puncher (Automatic Machine),Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Jute Carding Operator,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Sizing Machine Operator,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Knitting Machine Operator Warp Knitting,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Jute Selector cum Assorter,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Size Mixer,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Kalamkari Artisan,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Circular loom operator (Shuttle type),Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Ginning Helper,Green Jobs,Textile,3,1,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Jacquard Harness Builder,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Jute spinning Sardar (Jobber) cum Jr. Supervisor,Green Jobs,Textile,3,4,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Ring Frame Doffer,Green Jobs,Textile,3,3,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Twister cum Doubler - Handloom,Green Jobs,Textile,3,2,0.39932188
Green Hydrogen Plant Junior Technician - Power Sources,Knitting Machine Operator Flat Bed Knitting,Green Jobs,Textile,3,3,0.39932188
Solar PV Engineer (Option: Solar Water Pumping System),Mountain Cuisine Chef,Green Jobs,Tourism & Hospitality,5,5,0.3991823
Solar PV Project Manager (E&C),Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,7,4,0.39913696
Sewer Entry Professional,Advanced Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.3990911
Green Hydrogen Plant Junior Technician- Storage,Handloom Entrepreneur,Green Jobs,Textile,3,5,0.39906958
Introduction to Electric Vehicle,Paint Line Operator (Paper Mache),Automotive,Handicrafts and Carpet,4,2.5,0.39906797
GHG Accounting and Sustainability Reporting,Paint Line Operator (Paper Mache),Green Jobs,Handicrafts and Carpet,6,2.5,0.39906797
Automotive Plastic Moulding Assistant,Introduction to Electric Vehicle,Automotive,Automotive,2,4,0.39906654
Automotive Plastic Moulding Assistant,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,2,6,0.39906654
Solar PV Designer,Open-End Spinning Tenter,Green Jobs,Textile,7,3,0.39906254
Squash and Juice Processing Technician,Solar PV Designer,Food Processing,Green Jobs,3,7,0.39906254
Biomass Pellet Manufacturing Junior Technician,Rafting Guide/Safety Kayaker,Green Jobs,Tourism & Hospitality,3,5,0.39900735
Advanced Program on Hand Block Printing,Facility Manager,Handicrafts and Carpet,Tourism & Hospitality,4,6,0.39900675
Industrial Control,Bartender,Automotive,Tourism & Hospitality,4.5,4.5,0.3989651
Automotive Machining Aide,Housekeeping Attendant,Automotive,Tourism & Hospitality,2,3,0.3989532
Automotive Machining Aide,Shuttleless Loom Operator,Automotive,Textile,2,3,0.39894834
Green Hydrogen Plant Junior Technician- Storage,Ceramics and Terracotta Toy Maker - Artisan,Green Jobs,Handicrafts and Carpet,3,4,0.3989374
Green Hydrogen Plant Entrepreneur,Leaf Utility Products Artisan,Green Jobs,Handicrafts and Carpet,5,2,0.39889354
Welding,Tour  Guide,Automotive,Tourism & Hospitality,4.5,5,0.39888534
Instrumentation Technician (Mineral Sands),Loin Loom Weaver,Mining,Textile,4.5,3,0.3988447
Automotive Welding Machine Master Technician,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,6,4,0.39884365
Basic Program on Traditional Hand Embroidery,Mechanic - Belt Conveyor,Handicrafts and Carpet,Iron and Steel,4,3,0.3988301
Fitter: Hydraulic & Pneumatic System,Tour Manager,Iron and Steel,Tourism & Hospitality,4,6,0.39881957
Solar Photovoltaic Technician,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,4,7,0.39881492
Introduction to Electric Vehicle,Industrial Production Worker,Automotive,Food Processing,4,2,0.39880025
Industrial Production Worker,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,2,6,0.39880025
Solar PV Designer,Pantry Associate,Green Jobs,Tourism & Hospitality,7,3,0.3987933
Biomass Pellet Manufacturing Junior Technician,Counter Sales Executive (Tourism and Hospitality),Green Jobs,Tourism & Hospitality,3,4,0.3987845
Wastewater Treatment Plant Helper,Home Stay Host,Green Jobs,Tourism & Hospitality,3,5,0.39874113
Solar PV Engineer (Option: Solar Water Pumping System),Street Food Vendor- Standalone,Green Jobs,Tourism & Hospitality,5,4,0.3987267
Industrial Control,Travel Advisor,Automotive,Tourism & Hospitality,4.5,4,0.39869374
Green Hydrogen Plant Junior Technician-Electrolyzer,Billing Executive,Green Jobs,Tourism & Hospitality,3,4,0.39867035
Solar Domestic Product Assembler,Front Office Assistant,Green Jobs,Tourism & Hospitality,2.5,3,0.39865634
Green Hydrogen Plant Junior Technician - Power Sources,Walk Tour Facilitator,Green Jobs,Tourism & Hospitality,3,4,0.3986233
Solar PV Engineer (Option: Solar Water Pumping System),Demi Chef De Partie,Green Jobs,Tourism & Hospitality,5,4.5,0.39860973
Introduction to Electric Vehicle,Stone Preparation Artisan,Automotive,Handicrafts and Carpet,4,2.5,0.3985889
GHG Accounting and Sustainability Reporting,Stone Preparation Artisan,Green Jobs,Handicrafts and Carpet,6,2.5,0.3985889
Bicycle Mechanic,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,3,4,0.3985741
Automotive Automation and Robotics Engineer,Introduction to Electric Vehicle,Automotive,Automotive,5,4,0.3985734
Automotive Automation and Robotics Engineer,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,5,6,0.3985734
Plastic Recycling Operator,Billing Executive,Green Jobs,Tourism & Hospitality,3,4,0.39853862
Introduction to Electric Vehicle,Assistant Glass Toy Maker - Artisan,Automotive,Handicrafts and Carpet,4,2.5,0.39847293
GHG Accounting and Sustainability Reporting,Assistant Glass Toy Maker - Artisan,Green Jobs,Handicrafts and Carpet,6,2.5,0.39847293
Junior Technician- Solar Cold Storage,Shuttle Loom Operator cum Pirn Winder,Green Jobs,Textile,3,3,0.39845577
Iron & Steel  Utility Hand Plant Operations,Loin Loom Weaver,Iron and Steel,Textile,1,3,0.39840797
Biomass Pellet Manufacturing Junior Technician,Counter Sales Associate-Tourism and Hospitality,Green Jobs,Tourism & Hospitality,3,4,0.3983818
Junior Technician - Mechanized Sewer Cleaning,Tour Manager,Green Jobs,Tourism & Hospitality,3,6,0.3983591
Dairy Products Processor,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,5,4,0.3983521
Solar PV Engineer (Option: Solar Water Pumping System),Guest Service Associate (Front Office),Green Jobs,Tourism & Hospitality,5,4,0.39833367
Junior Technician - Mechanized Sewer Cleaning,Guest Service Executive (Front Office),Green Jobs,Tourism & Hospitality,3,4.5,0.39833358
Loin Loom Weaver,Restaurant Service (WorldSkills),Textile,Tourism & Hospitality,3,4.5,0.39831224
Handcrafted Candle Maker,Card Puncher (Automatic Machine),Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Hand Knitting Machine Operator,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Ginning Helper,Handicrafts and Carpet,Textile,3,1,0.3982895
Handcrafted Candle Maker,Fitter Helper - Weaving,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Jute spinning Sardar (Jobber) cum Jr. Supervisor,Handicrafts and Carpet,Textile,3,4,0.3982895
Handcrafted Candle Maker,Ring Frame Doffer,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Jute Carding Operator,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Fabric Checker - Textiles,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Fabric Mender - Textiles,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Fitter  Weaving Preparatory,Handicrafts and Carpet,Textile,3,4,0.3982895
Handcrafted Candle Maker,Jute Selector cum Assorter,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Pirn Winding Machine Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Sizing Machine Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Size Mixer,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Ikkat Artisan,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Blowroom Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Tape Winder,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Hand Spinning Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Knitting Machine Operator Flat Bed Knitting,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Twister cum Doubler - Handloom,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Kalamkari Artisan,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Jacquard Harness Builder,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Jute Weft Winding Operator,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Knitting Machine Operator Warp Knitting,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Assistant Ginning Fitter,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Assistant Cotton Grader (Ginning),Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Combing Preparatory Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Cone Winding Operator - Manual & Assembly Winding,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Circular loom operator (Shuttle type),Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Ring Frame Tenter,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Tape Plant Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
Handcrafted Candle Maker,Fitter - Shuttleless Weaving Machine: Projectile,Handicrafts and Carpet,Textile,3,4,0.3982895
Handcrafted Candle Maker,Jute Beaming Operator,Handicrafts and Carpet,Textile,3,2,0.3982895
Handcrafted Candle Maker,Knotting Machine Operator,Handicrafts and Carpet,Textile,3,3,0.3982895
